file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,StringValue/0,false,4462,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$ValueWithVariableContext,"ValueWithVariableContext/2[graphql.parser.antlr.ParserRuleContext,int]",true,4476,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"execute/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,154,3,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1025,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,mkNameForPath/1[graphql.language.Field],false,838,3,2,1,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"handleUnresolvedTypeProblem/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.execution.UnresolvedTypeException]",false,467,4,6,1,5,1,5,5,0,1,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"assertNonNullFieldPrecondition/2[graphql.execution.NonNullableFieldWasNullException,java.util.concurrent.CompletableFuture<?>]",false,765,2,6,1,5,3,5,6,0,1,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"getFieldDef/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.language.Field]",false,726,7,5,1,4,1,4,4,1,1,3,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,38,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,mkNameForPath/1[graphql.execution.MergedField],false,843,3,3,1,2,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"resolveType/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.GraphQLType]",false,695,5,6,1,5,1,5,3,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"unboxPossibleDataFetcherResult/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.lang.Object]",false,311,6,16,3,13,3,13,14,2,2,3,13,0,0,0,1,0,0,0,0,3,0,2,0,0,0,14,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"handleFetchingException/3[graphql.execution.ExecutionContext,graphql.schema.DataFetchingEnvironment,java.lang.Throwable]",false,339,7,7,1,6,2,5,10,2,1,3,5,1,1,0,0,1,0,0,0,2,0,1,0,0,0,15,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"handleCoercionProblem/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.CoercingSerializeException]",false,672,4,6,2,4,1,4,6,1,1,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,2,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,mkNameForPath/1[java.util.List<graphql.language.Field>],false,849,2,3,2,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,9,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,ExecutionStrategy/0,true,140,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,toIterable/1[java.lang.Object],false,691,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"getNormalizedField/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.util.function.Supplier<graphql.execution.ExecutionStepInfo>]",false,304,5,6,1,5,1,7,4,1,1,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,assertNonNullFieldPrecondition/1[graphql.execution.NonNullableFieldWasNullException],false,758,2,7,2,5,3,4,6,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,70,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForNull/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,474,6,7,1,6,1,6,7,2,1,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,13,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForObject/4[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.GraphQLObjectType,java.lang.Object]",false,644,12,22,1,21,1,20,9,1,7,4,20,1,1,0,0,0,0,0,0,6,0,0,0,0,1,53,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"asyncHandleException/3[graphql.execution.DataFetcherExceptionHandler,graphql.execution.DataFetcherExceptionHandlerParameters,graphql.execution.ExecutionContext]",false,356,7,6,1,5,1,6,3,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForScalar/4[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.GraphQLScalarType,java.lang.Object]",false,588,9,10,1,9,5,10,19,2,1,4,10,1,1,0,0,2,1,0,0,4,0,1,0,0,0,65,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"resolveField/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,182,4,1,0,1,1,2,3,1,0,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,77,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValue/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,430,15,25,2,23,6,23,32,5,5,2,23,7,8,0,1,1,0,0,0,9,0,1,0,0,0,106,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForList/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.lang.Object]",false,491,8,12,1,11,3,11,13,3,1,3,11,2,8,0,1,1,0,0,0,2,0,1,0,0,0,55,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"toIterable/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.lang.Object]",false,700,4,4,1,3,2,3,7,2,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,ExecutionStrategy/1[graphql.execution.DataFetcherExceptionHandler],true,150,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeField/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.execution.FetchedValue]",false,380,16,27,4,23,2,24,19,1,12,3,24,3,9,0,0,0,0,1,0,11,0,1,0,0,2,101,4,1,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"createExecutionStepInfo/4[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.GraphQLFieldDefinition,graphql.schema.GraphQLObjectType]",false,809,14,24,4,20,2,21,13,1,7,4,21,0,0,0,0,0,0,0,0,8,0,1,0,0,1,49,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"resolveFieldWithInfo/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,202,13,13,2,11,1,13,12,1,8,2,13,4,13,0,0,0,0,0,0,7,0,0,0,0,2,97,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForEnum/4[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,graphql.schema.GraphQLEnumType,java.lang.Object]",false,619,8,9,1,8,3,8,16,2,1,4,8,1,1,0,0,2,0,0,0,3,0,1,0,0,0,62,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"handleNonNullException/3[graphql.execution.ExecutionContext,java.util.concurrent.CompletableFuture<graphql.ExecutionResult>,java.lang.Throwable]",false,772,7,6,2,4,5,8,24,1,4,3,8,1,1,0,0,0,0,0,0,7,0,2,0,0,0,22,4,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"getFieldDef/3[graphql.schema.GraphQLSchema,graphql.schema.GraphQLObjectType,graphql.language.Field]",false,740,5,6,4,2,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"fetchField/2[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters]",false,236,27,46,4,42,4,50,42,3,21,2,50,5,2,0,1,1,0,1,0,20,0,2,0,0,4,113,4,1,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"handleTypeMismatchProblem/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.lang.Object]",false,710,4,7,1,6,1,7,5,0,1,3,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,2,1,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\execution\ExecutionStrategy.java,graphql.execution.ExecutionStrategy,"completeValueForList/3[graphql.execution.ExecutionContext,graphql.execution.ExecutionStrategyParameters,java.lang.Iterable<java.lang.Object>]",false,514,18,34,1,33,4,37,38,2,23,3,37,3,8,2,1,0,0,0,3,18,0,2,0,0,4,85,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,enter/1[graphql.util.TraverserContext<graphql.schema.GraphQLSchemaElement>],false,200,8,13,0,13,10,24,42,2,10,1,24,0,0,0,3,0,1,0,2,9,2,3,0,0,2,25,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,leave/1[graphql.util.TraverserContext<graphql.schema.GraphQLSchemaElement>],false,250,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\src\main\java\graphql\schema\SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,backRef/1[graphql.util.TraverserContext<graphql.schema.GraphQLSchemaElement>],false,255,6,7,0,7,2,12,12,2,2,1,12,0,0,0,1,0,0,0,0,2,0,1,0,0,0,23,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,inputObjectTypeDefinition/0,false,725,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,enumTypeDefinition/0,false,722,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,getRuleIndex/0,false,731,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,exitRule/1[graphql.parser.antlr.ParseTreeListener],false,737,2,1,0,1,2,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,accept/1[graphql.parser.antlr.ParseTreeVisitor<? extends T>],false,741,4,1,0,1,2,2,4,2,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\graphql-java-master\build\generated-src\antlr\main\graphql\parser\antlr\GraphqlParser.java,graphql.parser.antlr.GraphqlParser$TypeDefinitionContext,interfaceTypeDefinition/0,false,716,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
