file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\standard\src\examples\mbeans\standard\OverloadedMBean.java,examples.mbeans.standard.OverloadedMBean,interface,0,1,1,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\application\shoppingcart\StringWrapper.java,tutorials.application.shoppingcart.StringWrapper,class,1,3,2,1,4,1,0,3,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,2,0,2,0,1,1,0,0,0,0,0,20,3,0,0,0,0,0,0,3,0,3,1,0,0,0,54,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\standard\src\examples\mbeans\standard\Overloaded.java,examples.mbeans.standard.Overloaded,class,1,2,1,1,11,1,0,2,3,0.5714286,0.0,0.0,7,2,7,0,0,0,7,0,0,0,3,1,0,3,0,0,0,0,0,41,2,0,0,0,0,8,0,7,3,3,2,0,0,0,40,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\mbeans\dynamic\DynamicServerInfo.java,DynamicServerInfo,class,24,25,1,24,83,1,0,32,179,0.8730159,0.0,0.0,27,2,27,0,0,0,27,0,0,0,14,1,0,9,0,5,0,0,0,302,20,3,2,6,2,119,32,74,11,29,4,0,0,0,141,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\dynamic\src\examples\mbeans\dynamic\ServerStateChangeListener.java,examples.mbeans.dynamic.ServerStateChangeListener,class,2,3,1,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,17,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\application\shoppingcart\ShoppingCartApplication.java,tutorials.application.shoppingcart.ShoppingCartApplication$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\agent\NotifFilter.java,examples.agent.NotifFilter,class,2,3,1,2,3,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0,0,0,1,0,0,1,0,1,1,0,0,0,22,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\agent\RunAgent.java,tutorials.agent.CartInvoker,class,1,2,1,1,3,2,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,14,0,0,0,1,0,0,0,2,0,1,1,0,0,0,8,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\mbeans\dynamic\InventoryManager.java,tutorials.mbeans.dynamic.InventoryManager,class,20,22,2,20,45,1,0,27,96,0.87499994,0.0,0.0,17,0,17,0,0,0,17,0,0,0,8,0,0,1,0,7,0,0,6,191,16,3,4,7,3,55,22,45,6,24,4,0,0,0,96,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\standard\src\examples\mbeans\standard\ServerInfoMBean.java,examples.mbeans.standard.ServerInfoMBean,interface,0,1,1,0,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\mbeans\standard\NotifReceiver.java,examples.mbeans.standard.NotifReceiver,class,3,4,1,3,3,1,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,18,1,0,0,0,0,7,0,0,4,1,0,0,0,0,34,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\notification\src\examples\agent\RunNotifAgent.java,examples.agent.RunNotifAgent,class,12,13,1,12,14,1,0,15,8,0.796875,0.0,0.0,8,1,2,6,0,0,2,0,0,0,8,0,0,6,0,2,0,0,2,95,0,0,0,6,0,23,2,20,0,13,1,0,0,0,99,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\agent\RunAgent.java,tutorials.agent.RunAgent,class,12,13,1,12,16,1,0,24,8,0.78125,0.0,0.0,8,1,3,5,0,0,3,0,0,0,8,0,0,6,0,2,0,0,3,118,0,0,0,8,0,23,6,23,0,14,1,0,0,0,102,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\application\shoppingcart\ItemDialog.java,tutorials.application.shoppingcart.ItemDialog,class,2,4,2,2,49,6,0,56,220,0.8673685,0.0,0.0,25,0,24,1,0,0,24,0,0,0,19,0,0,4,0,15,0,0,9,291,10,1,6,12,0,34,125,60,24,23,3,0,0,0,123,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\application\shoppingcart\ShoppingCartApplication.java,tutorials.application.shoppingcart.ShoppingCartApplication$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\examples\mbeans\model\src\examples\mbeans\model\ModelServerInfo.java,examples.mbeans.model.ModelServerInfo,class,12,14,2,12,9,1,0,10,10,0.0,NaN,NaN,5,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,179,5,0,0,4,3,245,28,53,4,32,1,0,0,0,104,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_Repos\xmojo-5.0.0\xmojo-5.0.0\tutorials\src\tutorials\application\shoppingcart\ShoppingCartApplication.java,tutorials.application.shoppingcart.ShoppingCartApplication,class,6,11,5,6,48,11,0,70,70,0.82097197,0.0,0.0,17,2,16,1,0,0,16,0,0,0,23,2,1,6,0,16,1,0,9,345,8,1,11,12,0,43,50,54,30,30,3,2,1,0,122,1,0
